Image Link,Shoe Name,Price
//us.princesspolly.com/cdn/shop/files/0_86b10843-5942-4c8b-8590-42092a1b8990_450x610.jpg?v=1701999903,The Mona Heels Black,$45.00
//us.princesspolly.com/cdn/shop/products/0_73c97fd2-d0a1-4998-877e-5dafca6911d0_450x610.jpg?v=1632273250,The Becka Heels Beige,$45.00
//us.princesspolly.com/cdn/shop/files/ELODIEEKNEEHIGHBOOTSBLACK-1_450x610.jpg?v=1698883022,Elodiee Knee High Boots Black,$80.00
//us.princesspolly.com/cdn/shop/products/WINDSOR-SMITH-WHITE-RACERR-SNEAKERS_24e1fe6e-325a-44d2-b9d4-367551ddfc15_450x610.jpg?v=1655402999,Windsor Smith White Racerr Sneakers,$119.00
//us.princesspolly.com/cdn/shop/products/WINDSOR-SMITH-WHITE-RACERR-SNEAKERS_24e1fe6e-325a-44d2-b9d4-367551ddfc15_450x610.jpg?v=1655402999,Billini Ayla Pointed Toe Heels Black,$75.00
//us.princesspolly.com/cdn/shop/products/WINDSOR-SMITH-WHITE-RACERR-SNEAKERS_24e1fe6e-325a-44d2-b9d4-367551ddfc15_450x610.jpg?v=1655402999,Billini Silas Heels White,$75.00
//us.princesspolly.com/cdn/shop/products/WINDSOR-SMITH-WHITE-RACERR-SNEAKERS_24e1fe6e-325a-44d2-b9d4-367551ddfc15_450x610.jpg?v=1655402999,Billini Samba Heels Black,$75.00
//us.princesspolly.com/cdn/shop/products/WINDSOR-SMITH-WHITE-RACERR-SNEAKERS_24e1fe6e-325a-44d2-b9d4-367551ddfc15_450x610.jpg?v=1655402999,Billini Yazmin Heels White,$75.00
//us.princesspolly.com/cdn/shop/products/WINDSOR-SMITH-WHITE-RACERR-SNEAKERS_24e1fe6e-325a-44d2-b9d4-367551ddfc15_450x610.jpg?v=1655402999,Billini Montague Heels Black,$75.00
//us.princesspolly.com/cdn/shop/products/WINDSOR-SMITH-WHITE-RACERR-SNEAKERS_24e1fe6e-325a-44d2-b9d4-367551ddfc15_450x610.jpg?v=1655402999,Moxie Knee High Boots Black,$110.00
